id,studentno,candid_fname,candid_lname,candid_initial,candid_org,candid_position,partylist
1,15-164-106,Allan,Walker,AW,SSC,President,
2,15-4010-401,Gabbie,Carter,AW,SSC,President,
3,15-4010-402,Alan,Bongi,PP,SSC,Vice President,
4,15-4010-403,Jose,Matalo,PG,SSC,Vice President,
5,15-4010-404,Espasol,Literasol,PG,SSC,Secretary,
6,15-4010-405,Joana,Macalintal,AW,SSC,Secretary,
7,15-4010-406,Christian,Kalabaw,PP,SSC,Treasurer,
8,15-4010-407,Paolo,Kirabiin,LB,SSC,Treasurer,
9,15-4010-408,Erika,Solee,GG,SSC,Public Relation Officer,
10,15-4010-409,Jek,Canlas,FB,SSC,Public Relation Officer,
11,15-4010-410,Hat,Dog,LB,SSC,Sgt. at Arms,
12,15-4010-411,Kik,Kiam,GG,SSC,Sgt. at Arms,
13,15-4010-412,Pilay,Ako,FB,SSC,BSOA Representative,
14,15-4010-413,And,One,PG,SSC,BSA Representative,
15,15-4010-414,Kang,Kong,AW,SSC,BSIT Representative,
16,15-4010-415,Tortang,Talong,PP,SSC,BSIT Representative,
17,15-4010-416,Floyd,Lockey,FL,SSC,BSIT Representative,
18,15-4010-417,Kristofer,Colvie,KC,TEATRO,President,
19,15-4010-418,Mufinella,Simco,MS,TEATRO,President,
20,15-4010-419,Tamara,Blancowe,TB,TEATRO,Vice President,
21,15-4010-420,Dietrich,Petrolli,DP,TEATRO,Vice President,
22,15-4010-421,Chickie,Acres,CA,TEATRO,Secretary,
23,15-4010-422,Nollie,Crouse,NC,TEATRO,Secretary,
24,15-4010-423,Harriet,Nethercott,HN,TEATRO,Treasurer,
25,15-4010-424,Northrop,Mattedi,NM,TEATRO,Treasurer,
26,15-4010-425,Madeline,Birkbeck,MB,TEATRO,Auditor,
27,15-4010-426,Nevsa,Peegrem,NP,TEATRO,Auditor,
28,15-4010-427,Ashlee,McKelvie,AM,TEATRO,PRO Internal,
29,15-4010-428,Zarah,Taveriner,ZT,TEATRO,PRO Internal,
30,15-4010-429,Jolynn,Oglevie,LO,TEATRO,PRO External,
31,15-4010-430,Tobin,de Tocqueville,TD,TEATRO,PRO External,
32,15-4010-431,Nissy,Bukac,NB,TEATRO,Business Manager,
33,15-4010-432,Ricoriki,Catling,RC,TEATRO,Business Manager,
34,15-4010-433,Haleigh,MacIlwrick,HM,TEATRO,Business Manager,
35,15-4010-434,Mic,Barroux,MB,TEATRO,Public Relation Officer,
36,15-4010-435,Karole,Tisun,KT,TEATRO,Public Relation Officer,
37,15-4010-436,Gael,Goldring,GG,TEATRO,Sgt. at Arms,
38,15-4010-437,Erik,Giorgiutti,EG,TEATRO,Sgt. at Arms,
39,15-4010-438,Gloriana,Sommerlie,GS,TEATRO,Sgt. at Arms,
40,15-4010-439,Helyn,Petasch,HP,TEATRO,Sgt. at Arms,
41,15-4010-440,Meaghan,Seaking,MS,ITSO,President,
42,15-4010-441,Gare,Joron,GJ,ITSO,President,
43,15-4010-442,Brinna,Dawidman,BD,ITSO,Vice-President for Creatives,
44,15-4010-443,Annabelle,Conboy,AC,ITSO,Vice-President for Creatives,
45,15-4010-444,Chantalle,Capsey,CC,ITSO,Vice-President for Academics,
46,15-4010-445,Dwayne,Colliford,DC,ITSO,Vice-President for Academics,
47,15-4010-446,Ted,Obert,TO,ITSO,Secretary,
48,15-4010-447,Phillipe,Handforth,PH,ITSO,Secretary,
49,15-4010-448,Verene,Langshaw,VL,ITSO,Finance,
50,15-4010-449,Lyell,Knights,LK,ITSO,Finance,
51,15-4010-450,Susanna,Husset,SH,ITSO,Auditor,
52,15-4010-451,Marty,Everall,ME,ITSO,Auditor,
53,15-4010-452,Halsy,Doles,HD,ITSO,Public Relation Officer,
54,15-4010-453,Kristina,Elson,KE,ITSO,Public Relation Officer,
55,15-4010-454,Hugh,Danilovic,HDC,ITSO,4th Year Representative,
56,15-4010-455,Abie,Runnacles,AR,ITSO,4th Year Representative,
57,15-4010-456,Rich,Mawson,RM,ITSO,3rd Year Representative,
58,15-4010-457,Gareth,Kobierra,GK,ITSO,3rd Year Representative,
59,15-4010-458,Van,Landells,VL,ITSO,2nd Year Representative,
